taxsimid,year,state,mstat,page,sage,depx,pwages,psemp,swages,ssemp,dividends,intrec,stcg,ltcg,otherprop,nonprop,pensions,gssi,pui,sui,transfers,rentpaid,proptax,otheritem,childcare,mortgage,scorp,idtl,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11
88097,2025,1,2,35,40,3,52107.26953125,0.0,0.0,0.0,75.83316040039062,86.0767822265625,-14509.1884765625,12.197587013244629,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-75016.8359375,2,16.0,15.0,2.0,,,,,,,,
88098,2025,1,2,79,80,0,1961957.25,3773489.75,0.0,0.0,643396.875,887019.0625,332075.609375,9111912.592041016,0,0,50864.73046875,33024.20224719101,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1429277.40625,2,,,,,,,,,,,
88099,2025,1,1,47,0,0,15550.73828125,0.0,0.0,0.0,0.0,0.0,-745.7993774414062,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88100,2025,1,2,74,77,0,5444309.0,464674.40625,0.0,-1067.2535400390625,4082669.5,1386773.0,44686.875,8212671.0,0,0,82722.84375,38033.81273408239,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9064519.034667969,2,,,,,,,,,,,
88101,2025,1,2,58,58,1,140772.85937499994,3611.7702636718745,480087.5,1197792.5,310832.15185546875,711372.9159545898,404.7371520996094,4128709.546875,0,0,134544.9231109619,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1018896.171875,2,10.0,,,,,,,,,,
88102,2025,1,1,69,0,0,0.0,0.0,0.0,0.0,0.0,30.313844680786133,0.0,0.0,0,0,0.0,19172.179775280896,0.0,0.0,0,3305.425812115891,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88103,2025,1,2,22,25,0,1000.9407348632812,0.0,121647.53125,2259594.25,8085151.5,1077730.75,50281.21875,70559344.0,0,0,152809.484375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,12937957.0,2,,,,,,,,,,,
88104,2025,1,2,38,42,2,114287.71874999997,0.0,222288.82812499985,0.0,6660.901000976562,2549.5687255859234,0.0,32319.94384765619,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,83844.56933593715,2,15.0,11.0,,,,,,,,,
88105,2025,1,2,49,28,2,120002.6796875,0.0,12518.48046875,0.0,344.176513671875,21.325576782226562,-12.552250862121582,24.299224853515625,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,18.0,6.0,,,,,,,,,
88106,2025,1,1,64,0,0,2522543.5,2703318.25,0.0,0.0,3735345.5,1802663.25,1632622.75,31296456.0,0,0,124744.875,15494.651685393257,0.0,0.0,0,0.0,0.0,0,0.0,0.0,20678954.0,2,,,,,,,,,,,
88107,2025,1,1,21,0,1,34425.30078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,12.0,,,,,,,,,,
88108,2025,1,1,78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,52968.66292134831,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
